Partner Name,Partner Address,Partner Website,Fave Partner Site,Contact Information,Country,Location,Latitude,Longitude,Accept FavePay
AA Retreat Beauty & Wellness,,,https://myfave.com/kuala-lumpur/partners/aa-retreat-beauty-wellness,,Malaysia,Kuala Lumpur,,,false
Aaroma Beauty Centre,,https://www.aaroma.com.my/,https://myfave.com/kuala-lumpur/partners/aaroma-beauty-centre,,Malaysia,Kuala Lumpur,,,false
ABE MAT RESTORAN,,https://www.facebook.com/abematrestaurants/,https://myfave.com/kuala-lumpur/partners/abe-mat-restoran,,Malaysia,Kuala Lumpur,,,false
Aboong,"Gurney Plaza, 170, Persiaran Gurney, Pulau Tikus, 10250 George Town, Pulau Pinang, Malaysia",,https://myfave.com/kuala-lumpur/partners/aboong,,Malaysia,Kuala Lumpur,5.4383408,100.3100068,true
About Travel (Dorsett Grand Subang),,http://www.abouttravel.my,https://myfave.com/kuala-lumpur/partners/about-travel-dorsett-grand-subang,,Malaysia,Kuala Lumpur,,,false
About Travel (Estadia Hotel Melaka),,http://www.estadiahotel.com/,https://myfave.com/kuala-lumpur/partners/about-travel-estadia-hotel-melaka,,Malaysia,Kuala Lumpur,,,false
About Travel (Flamingo By The Beach Penang),,http://m-penang.flamingo.com.my/,https://myfave.com/kuala-lumpur/partners/about-travel-flamingo-by-the-beach-penang,,Malaysia,Kuala Lumpur,,,false
About Travel (Golden Sands Resort Penang By Shangri-La),,http://www.abouttravel.my,https://myfave.com/kuala-lumpur/partners/about-travel-golden-sands-resort-penang-by-shangri-la,,Malaysia,Kuala Lumpur,,,false
About Travel (Hard Rock Hotel Penang),,http://penang.hardrockhotels.net/,https://myfave.com/kuala-lumpur/partners/about-travel-hard-rock-hotel-penang,,Malaysia,Kuala Lumpur,,,false
About Travel (Hotel Excelsior Ipoh),,http://www.abouttravel.my,https://myfave.com/kuala-lumpur/partners/about-travel-hotel-excelsior-ipoh,,Malaysia,Kuala Lumpur,,,false
About Travel (Lone Pine Hotel Penang),,http://www.lonepinehotel.com/main.php,https://myfave.com/kuala-lumpur/partners/about-travel-lone-pine-hotel-penang,,Malaysia,Kuala Lumpur,,,false
About Travel (M Boutique Hotel),,https://ipoh.mboutiquehotels.com/,https://myfave.com/kuala-lumpur/partners/about-travel-m-boutique-hotel,,Malaysia,Kuala Lumpur,,,false
About Travel (M Roof Hotel & Residences Ipoh),,http://www.abouttravel.my,https://myfave.com/kuala-lumpur/partners/about-travel-m-roof-hotel-residences-ipoh,,Malaysia,Kuala Lumpur,,,false
About Travel (MU Hotel Ipoh),,http://muhotel.com/,https://myfave.com/kuala-lumpur/partners/about-travel-mu-hotel-ipoh,,Malaysia,Kuala Lumpur,,,false
